library,download_month,country,system_name,python_version,downloads
plotly,2018-01,SG,Linux,3,79.846
plotly,2018-12,FR,Linux,3,1808.8840000000002
plotly,2018-03,SG,Linux,3,231.12
plotly,2017-07,US,Darwin,3,963.0779999999999
plotly,2018-01,DE,Linux,3,1496.01
plotly,2018-12,GB,Linux,3,1265.984
plotly,2017-08,US,Darwin,3,1003.9839999999999
plotly,2018-11,CZ,Linux,3,1988.35
plotly,2017-11,SG,Linux,3,60.668
plotly,2018-10,None,Linux,3,1405.897
plotly,2017-09,DE,Linux,3,1249.89
plotly,2018-10,None,Darwin,3,1508.86
plotly,2018-11,CA,Linux,3,1397.25
plotly,2017-03,US,Darwin,3,781.95
plotly,2018-09,FR,Linux,3,1166.328
plotly,2018-02,DE,Linux,3,1351.16
plotly,2018-07,IN,Linux,3,1783.4279999999999
plotly,2017-11,US,Darwin,3,1081.3
plotly,2017-07,GB,Linux,3,404.685
plotly,2017-09,US,Windows,3,1423.74
plotly,2017-06,US,Windows,3,1279.74
plotly,2018-02,US,Darwin,3,1208.18
plotly,2017-10,SG,Linux,3,50.05
plotly,2017-11,US,Windows,3,1445.675
plotly,2018-08,CA,Linux,3,1489.509
plotly,2018-02,SG,Linux,3,126.764
plotly,2018-06,IN,Linux,3,1672.7679999999998
plotly,2018-09,None,Linux,3,1262.605
plotly,2017-02,US,Darwin,3,711.666
plotly,2017-04,US,Windows,3,1243.872
plotly,2017-08,GB,Linux,3,426.64799999999997
plotly,2017-03,JP,Linux,3,106.604
plotly,2018-09,None,Darwin,3,1381.424
plotly,2017-11,GB,Linux,3,408.8
plotly,2017-09,US,Darwin,3,888.86
plotly,2018-05,EU,Linux,3,135.75
plotly,2017-08,DE,Linux,3,732.4240000000001
plotly,2018-08,None,Linux,3,1252.8
plotly,2018-10,CN,Windows,3,1651.3020000000001
plotly,2018-06,SG,Linux,3,85.77600000000001
plotly,2018-02,US,Windows,3,1402.434
plotly,2018-09,CN,Windows,3,1610.792
plotly,2018-05,DE,Linux,3,1124.0819999999999
plotly,2018-09,CA,Linux,3,1237.2300000000002
plotly,2018-08,FR,Linux,3,1077.87
plotly,2018-12,IN,Windows,3,1627.075
plotly,2018-08,None,Darwin,3,1314.984
plotly,2017-12,US,Darwin,3,996.7860000000001
plotly,2018-08,CN,Windows,3,1570.6019999999999
plotly,2018-04,US,Windows,3,1425.8790000000001
plotly,2018-03,DE,Linux,3,1163.79
plotly,2018-04,DE,Linux,3,1177.814
plotly,2018-12,KR,Linux,3,1686.828
plotly,2017-12,US,Windows,3,1249.7279999999998
plotly,2018-03,US,Darwin,3,1071.0359999999998
plotly,2018-05,IN,Linux,3,1464.3630000000003
plotly,2017-03,US,Windows,3,1047.914
plotly,2018-04,US,Darwin,3,1123.7450000000001
plotly,2018-10,NZ,Linux,3,1651.69
plotly,2017-01,US,Darwin,3,632.555
plotly,2018-12,None,Windows,3,1525.455
plotly,2018-03,US,Windows,3,1310.576
plotly,2017-09,GB,Linux,3,328.205
plotly,2018-08,EU,Linux,3,328.23
plotly,2018-12,DK,Linux,3,1543.8290000000002
plotly,2017-02,US,Windows,3,917.6619999999999
plotly,2017-05,US,Darwin,3,662.2770000000002
plotly,2018-08,AU,Linux,3,1019.262
plotly,2018-12,PL,Linux,3,1490.22
plotly,2018-11,HK,Linux,3,1437.345
plotly,2017-02,JP,Linux,3,92.476
plotly,2018-01,US,Windows,3,1173.35
plotly,2018-01,US,Darwin,3,851.64
plotly,2017-05,US,Windows,3,1006.632
plotly,2017-05,GB,Linux,3,246.49200000000002
plotly,2018-07,JP,Linux,3,1277.788
plotly,2017-06,AU,Linux,3,102.096
plotly,2017-12,GB,Linux,3,406.392
plotly,2018-11,EU,Linux,3,776.286
